City_ID,City,Long,Lat,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-175.2,-21.2,31.09,84,75,5.14,TO,2023-01-21 14:09:00
1,rikitea,-134.9692,-23.1203,26.11,72,71,4.06,PF,2023-01-21 14:09:01
2,port alfred,26.891,-33.5906,21.77,97,6,3.2,ZA,2023-01-21 14:09:01
3,busselton,115.3333,-33.65,29.23,37,0,3.42,AU,2023-01-21 14:09:02
4,serowe,26.7167,-22.3833,18.35,66,46,2.19,BW,2023-01-21 14:09:03
5,kumhari,81.5167,21.2667,20.19,54,39,1.33,IN,2023-01-21 14:09:04
6,mar del plata,-57.5575,-38.0023,22.83,93,100,5.36,AR,2023-01-21 14:09:05
7,warrnambool,142.4833,-38.3833,19.25,69,100,6.45,AU,2023-01-21 14:09:05
8,bluff,168.3333,-46.6,14.21,54,53,4.45,NZ,2023-01-21 14:09:06
9,ostrovnoy,39.5131,68.0531,-3.84,91,48,7.57,RU,2023-01-21 14:09:07
10,pergamino,-60.5736,-33.89,20.66,97,98,3.23,AR,2023-01-21 14:09:08
11,san pedro de macoris,-69.2972,18.4616,22.34,88,0,3.62,DO,2023-01-21 14:09:08
12,klaksvik,-6.589,62.2266,7.51,95,100,18.69,FO,2023-01-21 14:09:09
13,barrow,-156.7887,71.2906,-18.99,78,100,3.6,US,2023-01-21 14:09:10
14,lata,-8.3327,40.1629,12.82,94,100,2.74,PT,2023-01-21 14:09:11
15,iquique,-70.1431,-20.2208,20.13,83,69,0.68,CL,2023-01-21 14:00:25
16,ushuaia,-68.3,-54.8,10.21,92,78,2.61,AR,2023-01-21 14:09:12
17,namwala,26.4384,-15.7504,18.05,99,100,1.14,ZM,2023-01-21 14:09:13
18,martil,-5.2752,35.6166,13.09,85,15,5.09,MA,2023-01-21 14:09:14
19,sao filipe,-24.4956,14.8961,21.82,69,2,5.71,CV,2023-01-21 14:09:15
20,bambous virieux,57.7575,-20.3428,24.56,89,100,3.21,MU,2023-01-21 14:09:16
21,longyearbyen,15.6401,78.2186,-2.09,80,75,8.75,SJ,2023-01-21 14:07:33
22,yendi,-0.0099,9.4427,24.98,19,74,2.14,GH,2023-01-21 14:09:17
23,hithadhoo,73.0833,-0.6,26.95,67,77,5.48,MV,2023-01-21 14:09:18
24,ugoofaaru,73.0,5.6667,26.12,60,12,4.25,MV,2023-01-21 14:09:19
25,mataura,168.8643,-46.1927,18.2,36,4,2.99,NZ,2023-01-21 14:09:19
26,aguimes,-15.4461,27.9054,17.35,63,75,9.26,ES,2023-01-21 14:09:20
27,butaritari,172.7902,3.0707,27.53,75,72,7.01,KI,2023-01-21 14:09:21
28,hobart,147.3294,-42.8794,21.79,77,75,4.63,AU,2023-01-21 14:09:22
29,tukums,23.1553,56.9669,-4.36,92,100,2.34,LV,2023-01-21 14:09:22
30,suarez,-76.6964,2.954,19.55,97,100,0.44,CO,2023-01-21 14:09:23
31,east london,27.9116,-33.0153,22.76,88,1,4.08,ZA,2023-01-21 14:09:24
32,arraial do cabo,-42.0278,-22.9661,22.4,92,100,7.02,BR,2023-01-21 14:05:16
33,tuktoyaktuk,-133.0374,69.4541,-26.0,76,100,1.03,CA,2023-01-21 14:09:25
34,avarua,-159.775,-21.2078,27.03,83,75,6.69,CK,2023-01-21 14:09:26
35,saint-philippe,55.7679,-21.3585,25.77,84,100,2.63,RE,2023-01-21 14:09:26
36,ribeira grande,-28.7,38.5167,16.54,86,49,7.15,PT,2023-01-21 14:09:27
37,sioux lookout,-91.917,50.1001,-7.64,93,100,3.14,CA,2023-01-21 14:09:28
38,katastarion,20.7667,37.8333,11.94,69,92,13.63,GR,2023-01-21 14:09:28
39,carnarvon,113.6333,-24.8667,27.5,66,1,6.64,AU,2023-01-21 14:09:29
40,bonavista,-53.1147,48.6499,-0.7,94,100,8.83,CA,2023-01-21 14:09:30
41,cabo san lucas,-109.9124,22.8909,20.28,71,0,3.11,MX,2023-01-21 14:00:03
42,castro,-50.0119,-24.7911,16.15,95,3,1.84,BR,2023-01-21 14:09:31
43,tautira,-149.15,-17.7333,26.86,69,81,3.01,PF,2023-01-21 14:09:32
44,dikson,80.5464,73.5069,-24.87,71,100,15.09,RU,2023-01-21 14:09:33
45,jamestown,-79.2353,42.097,-0.23,72,100,5.14,US,2023-01-21 14:09:33
46,sira,76.9092,13.7453,20.54,65,53,2.45,IN,2023-01-21 14:09:34
47,hovd,91.6419,48.0056,-13.58,76,100,1.0,MN,2023-01-21 14:09:35
48,kahului,-156.47,20.8947,27.01,69,40,2.57,US,2023-01-21 14:09:37
49,jamiltepec,-97.8167,16.2833,19.06,84,13,1.24,MX,2023-01-21 14:09:37
50,cherskiy,161.3,68.75,-40.77,100,100,1.4,RU,2023-01-21 14:09:38
51,georgetown,100.3354,5.4112,27.96,78,20,4.12,MY,2023-01-21 14:07:29
52,ust-omchug,149.6333,61.15,-30.98,95,100,3.78,RU,2023-01-21 14:09:39
53,thompson,-97.8558,55.7435,-10.47,96,100,2.16,CA,2023-01-21 14:08:22
54,igarka,86.5833,67.4667,-38.6,88,93,3.27,RU,2023-01-21 14:09:40
55,verkhnevilyuysk,120.3167,63.4453,-46.79,98,64,0.77,RU,2023-01-21 14:09:41
56,lavrentiya,-171.0,65.5833,-33.77,93,33,3.22,RU,2023-01-21 14:09:42
57,tabuk,121.4443,17.4189,22.64,86,90,1.85,PH,2023-01-21 14:09:42
58,atuona,-139.0333,-9.8,26.12,77,9,7.45,PF,2023-01-21 14:09:43
59,svetlaya,138.3297,46.5389,-15.97,45,7,4.19,RU,2023-01-21 14:09:44
60,albany,-73.9662,42.6001,1.43,80,72,0.45,US,2023-01-21 14:09:45
61,ancud,-73.8203,-41.8697,14.2,94,62,2.56,CL,2023-01-21 14:09:45
62,hermanus,19.2345,-34.4187,19.33,88,0,1.2,ZA,2023-01-21 14:09:46
63,new norfolk,147.0587,-42.7826,21.6,51,98,0.45,AU,2023-01-21 14:09:47
64,mahebourg,57.7,-20.4081,24.58,87,100,3.31,MU,2023-01-21 14:09:47
65,kapaa,-159.319,22.0752,26.18,75,100,9.26,US,2023-01-21 14:09:48
66,nemuro,145.575,43.3236,-5.19,66,92,11.0,JP,2023-01-21 14:09:49
67,san cristobal,-72.225,7.7669,17.28,74,29,0.74,VE,2023-01-21 14:09:49
68,dunedin,170.5036,-45.8742,15.76,55,2,4.33,NZ,2023-01-21 14:09:50
69,scarborough,-0.4044,54.2797,1.06,90,6,2.14,GB,2023-01-21 14:02:20
70,tiksi,128.8694,71.6872,-31.3,95,48,1.75,RU,2023-01-21 14:09:51
71,punta arenas,-70.9167,-53.15,11.06,82,0,2.06,CL,2023-01-21 14:09:52
